---------Start of logs---------
11:58:47.409:	The method "logComment()" are called
11:58:47.410:	<font color='grey'>Start of base purchase test case - please have SUCCESS testing card placed at the back of device!</font>
11:58:47.410:	The method "launch()" are called
11:58:47.410:	method launch (120) is called.
11:58:47.410:	method launch (CBA, 120) is called.
11:58:47.410:	method findCurrentPage(120) is called.
11:58:47.911:	
11:58:55.635:	Current page is: 
11:58:55.635:	This page  is not recognized.
11:58:55.635:	method findCurrentPage(120) is called.
11:58:56.138:	
11:59:01.716:	Current page is: 
11:59:01.717:	This page  is not recognized.
11:59:01.717:	method findCurrentPage(120) is called.
11:59:02.218:	
11:59:07.260:	Current page is: 
11:59:07.260:	This page  is not recognized.
11:59:07.260:	method findCurrentPage(120) is called.
11:59:07.761:	
11:59:12.902:	Current page is: 
11:59:12.902:	This page  is not recognized.
11:59:12.902:	method findCurrentPage(120) is called.
11:59:13.402:	
11:59:18.910:	Current page is: 
11:59:18.910:	This page  is not recognized.
11:59:18.910:	method findCurrentPage(120) is called.
11:59:19.411:	
11:59:24.007:	Current page is: 
11:59:24.007:	This page  is not recognized.
11:59:24.007:	method findCurrentPage(120) is called.
11:59:24.507:	
