---------Start of logs---------
11:11:04.302:	AndroidDriver created.
11:11:04.303:	The method "logComment()" are called
11:11:04.304:	<font color='grey'>Start of base purchase test case - please have SUCCESS testing card placed at the back of device!</font>
11:11:04.304:	The method "launch()" are called
11:11:04.304:	method launch (120) is called.
11:11:04.304:	method launch (CBA, 120) is called.
11:11:04.304:	method findCurrentPage(120) is called.
11:11:04.805:	
11:11:14.367:	Current page is: 
11:11:14.367:	This page  is not recognized.
11:11:14.367:	method findCurrentPage(120) is called.
11:11:14.870:	
11:11:15.757:	Current page is: SignInSelection
11:11:15.757:	method clickButton (0, SignInSelectionFirstUser) is called.
11:11:15.757:	method find(SignInSelectionFirstUser) is called.
11:11:15.944:	method findCurrentPage(120) is called.
11:11:16.444:	
11:11:17.581:	Current page is: EnterPIN
11:11:17.581:	<font color='grey'>App launched and awaiting for login.</font>
11:11:17.581:	The method "login()" are called
11:11:17.581:	method login(1) is called.
11:11:17.581:	method enterNumPadOK (1, 123456) is called.
11:11:18.582:	method enterNumPad (1, 123456) is called.
11:11:19.587:	Number to be entered is: 123456
11:11:19.588:	method find(EnterPIN1) is called.
11:11:19.821:	method find(EnterPIN2) is called.
11:11:20.460:	method find(EnterPIN3) is called.
11:11:21.187:	method find(EnterPIN4) is called.
11:11:21.813:	method find(EnterPIN5) is called.
11:11:22.499:	method find(EnterPIN6) is called.
11:11:23.182:	method find(EnterPINOK) is called.
11:11:23.472:	exception caught, not on PIN entering page.
11:11:23.472:	<font color='grey'>User Authentication performed.</font>
11:11:23.472:	The method "waitUntilPage()" are called
11:11:23.472:	
11:11:31.376:	Current page is: 
11:11:31.378:	
11:11:31.494:	Current page is: Purchase
11:11:31.494:	page count is: 45
11:11:31.494:	page count is: 46
11:11:31.994:	The method "reachPage()" are called
11:11:31.994:	method reachPage(GP, SettingsTerminal) is called.
11:11:31.994:	method reachPage(GP, Purchase) is called.
11:11:31.994:	method find(PurchaseSideMenu) is called.
11:11:32.102:	method goToSidemenuPage(Purchase) is called.
11:11:32.102:	method findCurrentPage(0) is called.
11:11:32.603:	
11:11:32.743:	Current page is: Purchase
11:11:32.743:	method findCurrentPage(0) is called.
11:11:33.244:	
11:11:33.391:	Current page is: Purchase
11:11:33.391:	method clickButton (0, PurchaseSideMenu) is called.
11:11:33.391:	method find(PurchaseSideMenu) is called.
