---------Start of logs---------
11:20:14.741:	The method "logComment()" are called
11:20:14.742:	<font color='grey'>Start of base purchase cancellation - please make sure NO card is placed behind the device!</font>
11:20:14.742:	The method "launch()" are called
11:20:14.742:	method launch (120) is called.
11:20:14.742:	method launch (CBA, 120) is called.
11:20:14.742:	method findCurrentPage(120) is called.
11:20:15.243:	
11:20:15.246:	Current page is: 
11:20:15.246:	This page  is not recognized.
11:20:15.246:	method findCurrentPage(120) is called.
11:20:15.747:	
11:20:15.764:	Current page is: 
11:20:15.764:	This page  is not recognized.
11:20:15.764:	method findCurrentPage(120) is called.
11:20:16.264:	
11:20:16.267:	Current page is: 
11:20:16.267:	This page  is not recognized.
11:20:16.267:	method findCurrentPage(120) is called.
11:20:16.768:	
11:20:16.771:	Current page is: 
11:20:16.771:	This page  is not recognized.
11:20:16.771:	method findCurrentPage(120) is called.
11:20:17.271:	
11:20:17.274:	Current page is: 
11:20:17.274:	This page  is not recognized.
11:20:17.274:	method findCurrentPage(120) is called.
11:20:17.775:	
11:20:17.778:	Current page is: 
11:20:17.778:	This page  is not recognized.
11:20:17.778:	method findCurrentPage(120) is called.
11:20:18.278:	
11:20:18.279:	Current page is: 
11:20:18.279:	This page  is not recognized.
11:20:18.279:	method findCurrentPage(120) is called.
11:20:18.780:	
11:20:18.782:	Current page is: 
11:20:18.782:	This page  is not recognized.
11:20:18.782:	method findCurrentPage(120) is called.
11:20:19.283:	
11:20:19.286:	Current page is: 
11:20:19.286:	This page  is not recognized.
11:20:19.286:	method findCurrentPage(120) is called.
11:20:19.786:	
11:20:19.792:	Current page is: 
11:20:19.792:	This page  is not recognized.
11:20:19.792:	method findCurrentPage(120) is called.
11:20:20.293:	
11:20:20.294:	Current page is: 
11:20:20.294:	This page  is not recognized.
11:20:20.294:	method findCurrentPage(120) is called.
11:20:20.794:	
11:20:20.796:	Current page is: 
11:20:20.796:	This page  is not recognized.
11:20:20.796:	method findCurrentPage(120) is called.
11:20:21.297:	
11:20:21.299:	Current page is: 
11:20:21.299:	This page  is not recognized.
11:20:21.299:	method findCurrentPage(120) is called.
