---------Start of logs---------
12:58:38.430:	The method "logComment()" are called
12:58:38.431:	<font color='grey'>Start of base purchase test case - please have SUCCESS testing card placed at the back of device!</font>
12:58:38.431:	The method "launch()" are called
12:58:38.431:	method launch (120) is called.
12:58:38.431:	method launch (CBA, 120) is called.
12:58:38.431:	method findCurrentPage(120) is called.
12:58:38.932:	
12:58:42.321:	Current page is: MerchantSignIn
12:58:42.321:	method merchantSignin (taoyenbc90123101) is called.
12:58:43.817:	method findCurrentPage(120) is called.
12:58:44.319:	
12:58:52.010:	Current page is: 
12:58:52.010:	This page  is not recognized.
12:58:52.010:	method findCurrentPage(120) is called.
12:58:52.511:	
12:58:53.962:	Current page is: MerchantPassword
12:58:53.962:	method merchantPassword (EJ4;q=2Y) is called.
12:58:55.211:	exception caught during button click, failed to find MerchantPasswordContinue
12:58:55.211:	method findCurrentPage(120) is called.
12:58:55.711:	
12:59:00.796:	Current page is: 
12:59:00.796:	This page  is not recognized.
12:59:00.796:	method findCurrentPage(120) is called.
12:59:01.297:	
12:59:06.197:	Current page is: 
12:59:06.197:	This page  is not recognized.
12:59:06.197:	method findCurrentPage(120) is called.
12:59:06.697:	
12:59:12.098:	Current page is: 
12:59:12.099:	This page  is not recognized.
12:59:12.099:	method findCurrentPage(120) is called.
12:59:12.600:	
12:59:17.180:	Current page is: 
12:59:17.180:	This page  is not recognized.
12:59:17.180:	method findCurrentPage(120) is called.
12:59:17.681:	
12:59:22.551:	Current page is: 
12:59:22.551:	This page  is not recognized.
12:59:22.551:	method findCurrentPage(120) is called.
12:59:23.052:	
12:59:27.388:	Current page is: 
12:59:27.388:	This page  is not recognized.
12:59:27.388:	method findCurrentPage(120) is called.
12:59:27.889:	
12:59:32.165:	Current page is: 
12:59:32.165:	This page  is not recognized.
12:59:32.165:	method findCurrentPage(120) is called.
12:59:32.666:	
12:59:36.945:	Current page is: 
12:59:36.945:	This page  is not recognized.
12:59:36.945:	method findCurrentPage(120) is called.
12:59:37.446:	
12:59:41.728:	Current page is: 
12:59:41.728:	This page  is not recognized.
12:59:41.728:	method findCurrentPage(120) is called.
12:59:42.228:	
12:59:46.459:	Current page is: 
12:59:46.459:	This page  is not recognized.
12:59:46.459:	method findCurrentPage(120) is called.
12:59:46.959:	
12:59:51.203:	Current page is: 
12:59:51.203:	This page  is not recognized.
12:59:51.203:	method findCurrentPage(120) is called.
12:59:51.703:	
12:59:55.970:	Current page is: 
12:59:55.970:	This page  is not recognized.
12:59:55.971:	method findCurrentPage(120) is called.
12:59:56.471:	
13:00:00.738:	Current page is: 
13:00:00.738:	This page  is not recognized.
13:00:00.738:	method findCurrentPage(120) is called.
13:00:01.239:	
13:00:05.407:	Current page is: 
13:00:05.407:	This page  is not recognized.
13:00:05.407:	method findCurrentPage(120) is called.
13:00:05.907:	
13:00:09.904:	Current page is: 
13:00:09.904:	This page  is not recognized.
13:00:09.904:	method findCurrentPage(120) is called.
13:00:10.405:	
13:00:14.873:	Current page is: 
13:00:14.873:	This page  is not recognized.
13:00:14.873:	method findCurrentPage(120) is called.
13:00:15.374:	
13:00:19.616:	Current page is: 
13:00:19.616:	This page  is not recognized.
13:00:19.616:	method findCurrentPage(120) is called.
13:00:20.117:	
13:00:23.991:	Current page is: 
13:00:23.991:	This page  is not recognized.
13:00:23.991:	method findCurrentPage(120) is called.
13:00:24.492:	
13:00:28.451:	Current page is: 
13:00:28.451:	This page  is not recognized.
13:00:28.451:	method findCurrentPage(120) is called.
13:00:28.952:	
13:00:32.284:	Current page is: 
13:00:32.284:	This page  is not recognized.
13:00:32.284:	method findCurrentPage(120) is called.
13:00:32.784:	
13:00:36.512:	Current page is: 
13:00:36.512:	This page  is not recognized.
13:00:36.512:	method findCurrentPage(120) is called.
13:00:37.012:	
13:00:40.900:	Current page is: 
13:00:40.900:	This page  is not recognized.
13:00:40.900:	method findCurrentPage(120) is called.
13:00:41.400:	
13:00:45.018:	Current page is: 
13:00:45.018:	This page  is not recognized.
13:00:45.018:	method findCurrentPage(120) is called.
13:00:45.518:	
13:00:49.296:	Current page is: 
13:00:49.296:	This page  is not recognized.
13:00:49.296:	method findCurrentPage(120) is called.
13:00:49.797:	
13:00:53.722:	Current page is: 
13:00:53.723:	This page  is not recognized.
13:00:53.723:	method findCurrentPage(120) is called.
13:00:54.223:	
13:00:57.844:	Current page is: 
13:00:57.844:	This page  is not recognized.
13:00:57.844:	method findCurrentPage(120) is called.
13:00:58.345:	
13:01:02.289:	Current page is: 
13:01:02.289:	This page  is not recognized.
13:01:02.289:	method findCurrentPage(120) is called.
13:01:02.790:	
13:01:06.464:	Current page is: 
13:01:06.464:	This page  is not recognized.
13:01:06.465:	method findCurrentPage(120) is called.
13:01:06.966:	
13:01:11.265:	Current page is: 
13:01:11.265:	This page  is not recognized.
13:01:11.265:	method findCurrentPage(120) is called.
13:01:11.766:	
13:01:15.482:	Current page is: 
13:01:15.482:	This page  is not recognized.
13:01:15.482:	method findCurrentPage(120) is called.
13:01:15.982:	
13:01:20.002:	Current page is: 
13:01:20.002:	This page  is not recognized.
13:01:20.002:	method findCurrentPage(120) is called.
13:01:20.503:	
13:01:24.229:	Current page is: 
13:01:24.229:	This page  is not recognized.
13:01:24.229:	method findCurrentPage(120) is called.
13:01:24.730:	
13:01:28.427:	Current page is: 
13:01:28.427:	This page  is not recognized.
13:01:28.427:	method findCurrentPage(120) is called.
13:01:28.927:	
13:01:32.638:	Current page is: 
13:01:32.638:	This page  is not recognized.
13:01:32.638:	method findCurrentPage(120) is called.
13:01:33.139:	
13:01:36.830:	Current page is: 
13:01:36.830:	This page  is not recognized.
13:01:36.830:	method findCurrentPage(120) is called.
